Designator,Mid X,Mid Y,Rotation,Layer
C1,194.22887,-66.95,180,bottom
C10,201.56887,-67.18725,90,bottom
C11,193.74,-77.58,180,bottom
C12,197.78712,-68.981018,90,bottom
C13,206.80412,-71.521018,90,bottom
C14,200.67987,-82.80825,270,bottom
C15,207.68,-77.4,315,bottom
C16,195.09187,-70.23525,180,bottom
C17,195.09187,-71.75925,180,bottom
C2,197.24887,-58.905,0,bottom
C3,205.04887,-61.965,180,bottom
C4,198.80312,-68.981018,90,bottom
C5,203.09287,-67.18725,90,bottom
C6,199.15587,-82.80825,270,bottom
C7,207.28387,-86.634018,270,bottom
C8,200.58112,-86.380018,90,bottom
C9,194.22887,-65.75,0,bottom
CH1,201.3,-102.03,180,bottom
CH10,252.41,-106.18,180,bottom
CH11,276.44,-89.76,180,bottom
CH12,304.87,-87.76,180,bottom
CH13,333.5,-98.98,180,bottom
CH14,145.16,-167.24,180,bottom
CH15,164.77,-186.71,180,bottom
CH16,222.94,-158.79,180,bottom
CH17,242.56,-139.19,180,bottom
CH18,230.98,-186.06,180,bottom
CH19,250.57,-166.58,180,bottom
CH2,69.13,-96.58,180,bottom
CH20,270.21,-147.46,180,bottom
CH21,129.84,-61.17,180,bottom
CH3,96.85,-84.93,180,bottom
CH4,125.26,-87.18,180,bottom
CH5,149.33,-103.61,180,bottom
CH6,247.55,-78.68,180,bottom
CH7,271.77,-62.53,180,bottom
CH8,300.1,-60.66,180,bottom
CH9,328.69,-71.8,180,bottom
D1,193.69887,-62.735,90,bottom
D2,191.31887,-57.805,90,bottom
D3,181.07,-55.23,270,bottom
F1,196.43887,-55.785,180,bottom
H1,329.7,-181.52,180,bottom
H2,93.514631,-182.048984,180,bottom
J1,201.57037,-40.515,0,top
R1,195.11,-47.57,90,bottom
R10,214.29887,-60.045,270,bottom
R11,202.71187,-82.80825,90,bottom
R2,203.55,-48.37,0,bottom
R3,199.63,-48.37,180,bottom
R4,191.81887,-73.835,180,bottom
R5,191.11887,-69.93,270,bottom
R6,189.57887,-69.93,90,bottom
R7,195.64887,-82.255,0,bottom
R8,201.13887,-63.465,270,bottom
R9,199.60887,-63.465,270,bottom
SW1,219.86,-62.64,90,bottom
U1,196.79637,-61.145,0,bottom
U2,201.56887,-57.675,270,bottom
U3,201.56887,-75.22,180,bottom
U4,210.69887,-63.875,180,bottom
Y1,203.85487,-86.36425,0,bottom
